#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:26.322Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:26.489Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:26.656Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:26.823Z,3.125473,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:26.99Z,3.122418,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:27.157Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:27.324Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:27.491Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:27.658Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:27.825Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:27.992Z,3.122418,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:28.159Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:28.326Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:28.493Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:28.66Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:28.827Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:28.994Z,3.120891,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:29.161Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:29.328Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:29.495Z,3.119364,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:29.662Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:29.829Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:29.996Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:30.163Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:30.33Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:30.497Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:30.664Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:30.831Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:30.998Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:31.165Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:31.332Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:31.499Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:31.666Z,3.127,current,PowerMeasurement
